Shape: (16, 16, 16)
(np.int64(11), np.int64(7), np.int64(4)): 0.7593686464551289j
(np.int64(11), np.int64(8), np.int64(3)): 0.6796615085876523j
(np.int64(11), np.int64(9), np.int64(2)): 0.5586373782098599j
(np.int64(11), np.int64(10), np.int64(1)): 0.38712277887313384j
(np.int64(11), np.int64(12), np.int64(15)): (-4.147576512643117e-17-0.3386753238183304j)
(np.int64(11), np.int64(13), np.int64(14)): (-5.149005516774726e-17-0.42044820762685736j)
(np.int64(11), np.int64(14), np.int64(13)): (-5.1490055167747255e-17-0.4204482076268573j)
(np.int64(11), np.int64(15), np.int64(12)): (-4.147576512643117e-17-0.33867532381833043j)
(np.int64(12), np.int64(1), np.int64(11)): 0.3386753238183301j
(np.int64(12), np.int64(2), np.int64(10)): 0.5j
(np.int64(12), np.int64(3), np.int64(9)): 0.6207245967710232j
(np.int64(12), np.int64(4), np.int64(8)): 0.7071067811865475j
(np.int64(12), np.int64(5), np.int64(7)): 0.7593686464551287j
(np.int64(12), np.int64(6), np.int64(6)): 0.7768869870150186j
(np.int64(12), np.int64(7), np.int64(5)): 0.7593686464551288j
(np.int64(12), np.int64(8), np.int64(4)): 0.7071067811865475j
(np.int64(12), np.int64(9), np.int64(3)): 0.6207245967710231j
(np.int64(12), np.int64(10), np.int64(2)): 0.5j
(np.int64(12), np.int64(11), np.int64(1)): 0.3386753238183301j
(np.int64(12), np.int64(13), np.int64(15)): (-3.390320064445134e-17-0.2768406422819711j)
(np.int64(12), np.int64(14), np.int64(14)): (-3.940878208852271e-17-0.3217971264527914j)
(np.int64(12), np.int64(15), np.int64(13)): (-3.3903200644451335e-17-0.2768406422819711j)
(np.int64(13), np.int64(1), np.int64(12)): 0.2768406422819708j
(np.int64(13), np.int64(2), np.int64(11)): 0.4204482076268573j
(np.int64(13), np.int64(3), np.int64(10)): 0.5340066207070905j
(np.int64(13), np.int64(4), np.int64(9)): 0.620724596771023j
(np.int64(13), np.int64(5), np.int64(8)): 0.6796615085876523j
(np.int64(13), np.int64(6), np.int64(7)): 0.7095191586671434j
(np.int64(13), np.int64(7), np.int64(6)): 0.7095191586671433j
(np.int64(13), np.int64(8), np.int64(5)): 0.6796615085876523j
(np.int64(13), np.int64(9), np.int64(4)): 0.6207245967710231j
(np.int64(13), np.int64(10), np.int64(3)): 0.5340066207070906j
(np.int64(13), np.int64(11), np.int64(2)): 0.4204482076268573j
(np.int64(13), np.int64(12), np.int64(1)): 0.27684064228197075j
(np.int64(13), np.int64(14), np.int64(15)): (-2.494123929049825e-17-0.20366067430922374j)
(np.int64(13), np.int64(15), np.int64(14)): (-2.4941239290498246e-17-0.20366067430922377j)
(np.int64(14), np.int64(1), np.int64(13)): 0.2036606743092236j
(np.int64(14), np.int64(2), np.int64(12)): 0.3217971264527914j
(np.int64(14), np.int64(3), np.int64(11)): 0.4204482076268573j
(np.int64(14), np.int64(4), np.int64(10)): 0.5000000000000001j
(np.int64(14), np.int64(5), np.int64(9)): 0.5586373782098599j
(np.int64(14), np.int64(6), np.int64(8)): 0.5946035575013606j
(np.int64(14), np.int64(7), np.int64(7)): 0.6067276254458683j
(np.int64(14), np.int64(8), np.int64(6)): 0.5946035575013606j
(np.int64(14), np.int64(9), np.int64(5)): 0.55863737820986j
(np.int64(14), np.int64(10), np.int64(4)): 0.5000000000000001j
(np.int64(14), np.int64(11), np.int64(3)): 0.4204482076268573j
(np.int64(14), np.int64(12), np.int64(2)): 0.3217971264527914j
(np.int64(14), np.int64(13), np.int64(1)): 0.20366067430922358j
(np.int64(14), np.int64(15), np.int64(15)): (-1.4779726843996438e-17-0.12068562833207631j)
(np.int64(15), np.int64(1), np.int64(14)): 0.1206856283320762j
(np.int64(15), np.int64(2), np.int64(13)): 0.20366067430922372j
(np.int64(15), np.int64(3), np.int64(12)): 0.2768406422819711j
(np.int64(15), np.int64(4), np.int64(11)): 0.33867532381833043j
(np.int64(15), np.int64(5), np.int64(10)): 0.38712277887313407j
(np.int64(15), np.int64(6), np.int64(9)): 0.4204482076268576j
(np.int64(15), np.int64(7), np.int64(8)): 0.43742624084815174j
(np.int64(15), np.int64(8), np.int64(7)): 0.43742624084815174j
(np.int64(15), np.int64(9), np.int64(6)): 0.4204482076268576j
(np.int64(15), np.int64(10), np.int64(5)): 0.38712277887313407j
(np.int64(15), np.int64(11), np.int64(4)): 0.33867532381833043j
(np.int64(15), np.int64(12), np.int64(3)): 0.27684064228197114j
(np.int64(15), np.int64(13), np.int64(2)): 0.20366067430922372j
(np.int64(15), np.int64(14), np.int64(1)): 0.12068562833207619j
