,0,1,2,3,4,5,6,7,8,9,10,11
23,-1.1897254806872148,-2.0809013953002,-2.075064015013963,-2.1909273443337725,-2.4387613842055553,-2.447885830196064,-2.550292334218981,-2.5784448114331058,-2.590332752824114,-3.2275314979724032,-3.241798402028253,-3.280203755452664
24,-1.189346996666434,-2.0815273961780045,-2.0745368246787894,-2.190766167783139,-2.436853282679991,-2.4493396085633834,-2.5505597347439233,-2.5782005755940856,-2.5905676513143687,-3.2279995381738527,-3.241834492881827,-3.2803367343967484
25,-1.188997626801098,-2.0809618358591075,-2.0751935942239883,-2.1906173899341144,-2.434953141147456,-2.450820376979238,-2.5508486461936286,-2.577237456990097,-2.5914800685227535,-3.2284308224519176,-3.241867764655796,-3.2804602798971536
26,-1.1886741361850457,-2.0806499792606803,-2.075589905234758,-2.1904796312414003,-2.436255165727555,-2.449130045920722,-2.551131063716939,-2.5768839759890065,-2.5917716949043803,-3.2288295837652843,-3.2418985311987565,-3.280575290508478
27,-1.188373752041569,-2.0812361234138623,-2.0750821840587963,-2.1903517114324322,-2.4387496996883273,-2.446274940696663,-2.551423969225774,-2.5760884271106828,-2.5924791476457694,-3.2291994285423824,-3.2419270549777974,-3.28068256482278
28,-1.188094084045918,-2.0808779295899478,-2.0755133925470712,-2.1902326135108847,-2.4365175174886717,-2.448171418447293,-2.551717738258276,-2.575668581354798,-2.5927959091266293,-3.2295434485584584,-3.2419535575643996,-3.2807828131720544
29,-1.1878330605833107,-2.080468533163709,-2.075990935770397,-2.1901214556738346,-2.435297135234456,-2.4490784768717666,-2.5520163066951174,-2.5749865423204965,-2.5933573518406776,-3.229864309584756,-3.241978227742742,-3.280876668185195
30,-1.1875888773440972,-2.0809793075411296,-2.075543911433249,-2.19001746949937,-2.4368327419596594,-2.4472497607062884,-2.5523176447941682,-2.5745316099753417,-2.593677436183302,-3.2301643223951153,-3.242001227771037,-3.28096469406517
31,-1.1873599555573346,-2.080809725583559,-2.07577325900968,-2.1899199825047706,-2.43855596397041,-2.4452517484682006,-2.5526202076066875,-2.5739278600791446,-2.59413470785766,-3.230445499989487,-3.2420226982391447,-3.281047394787065
32,-1.1871449078182543,-2.080339809113639,-2.0762993189735726,-2.1898284037789715,-2.436308947364444,-2.44724062892259,-2.552924619994905,-2.573460097800584,-2.594444682546174,-3.2307096042075822,-3.242042761885503,-3.281125221239723
33,-1.1869425099461792,-2.0807527951294134,-2.07593917392795,-2.189742212002383,-2.4356248359160664,-2.4476817886537,-2.5532271021225283,-2.5729135847464715,-2.594826713327176,-3.2309581836915795,-3.2420615266611024,-3.2811985775226846
34,-1.186751677666794,-2.0807472116086987,-2.0759945789451204,-2.1896609454598517,-2.4373119182088923,-2.4457656375874346,-2.5535286368203662,-2.5724496029069184,-2.595119274629527,-3.2311926052433484,-3.2420790880830013,-3.2812678264797297
35,-1.1865714471807078,-2.0802513350494043,-2.0765375091351164,-2.1895841937301115,-2.438252305452112,-2.4446089076393474,-2.553824460066215,-2.5719501142897485,-2.595445825571185,-3.231414079853505,-3.242095531225472,-3.281333294455643
36,-1.1864009588830586,-2.0805546656213654,-2.076278688748055,-2.1895115907487894,-2.4361959166955653,-2.4464606478753463,-2.5541148069752357,-2.5715040913044054,-2.595717744770507,-3.231623684261671,-3.2421109322491137,-3.281395275517016
37,-1.186239443653707,-2.0806835428826234,-2.076191979028136,-2.1894428089793383,-2.4359412128802522,-2.4465214741483505,-2.554394321385361,-2.5710501535661563,-2.5960022931571096,-3.231822379086522,-3.2421253597362045,-3.281454035149937
38,-1.1860862112566297,-2.080193585323395,-2.0767219416912885,-2.1893775544794423,-2.4377008932883544,-2.444577858638787,-2.5546620249496526,-2.5706363714736504,-2.5962528493044967,-3.2320110241179068,-3.2421388756776626,-3.2815098134535137
39,-1.1859406404794064,-2.0803838177206977,-2.0765697141438713,-2.1893155627034373,-2.437909706838877,-2.444194306738682,-2.5549121961966126,-2.570233643840227,-2.5965046594309333,-3.2321903911676086,-3.2421515364194016,-3.281562827980591
40,-1.185802170715706,-2.080614406911953,-2.0763752759078318,-2.189256594915995,-2.436154978684301,-2.4457828203673833,-2.5551428055070953,-2.5698675529424997,-2.5967345531114066,-3.2323611750944345,-3.242163393297319,-3.281613276195521
41,-1.185670294750277,-2.08015892551823,-2.07686518678264,-2.1892004351185124,-2.436248988328381,-2.4455305111742685,-2.5553484177926697,-2.569526311315327,-2.596960098732827,-3.2325240031298343,-3.242174493350336,-3.2816613376609727
42,-1.185544552550682,-2.0802392397973857,-2.076817700613194,-2.1891468874048297,-2.437993942910379,-2.443634619812836,-2.5555269816048116,-2.569222831682218,-2.5971707486808153,-3.232679442891546,-3.24218487975657,-3.281707175949736
43,-1.1854245259056142,-2.0805376937455238,-2.0765505825878567,-2.189095773678234,-2.437581580588699,-2.4439029061179802,-2.5556747552244947,-2.568952981604013,-2.597374662260248,-3.2328280093227644,-3.242194592295749,-3.2817509403214613
44,-1.185309833778105,-2.0801409725106925,-2.0769772470377927,-2.1890469316728036,-2.436168894772198,-2.4451779192962597,-2.555791404911351,-2.5687214179592592,-2.597567776134371,-3.2329701706493337,-3.2422036677339063,-3.281792767201667
45,-1.185200128264835,-2.0801196882492494,-2.0770271726354417,-2.1890002132328306,-2.4365492438337806,-2.444665883363537,-2.5558764519290498,-2.5685254768941665,-2.5977534701011114,-3.2331063535280054,-3.2422121401236934,-3.2818327815041983
46,-1.1850950910712788,-2.080453227107803,-2.0767210563328486,-2.1889554828115307,-2.4381779699973807,-2.4429110740256106,-2.555932520716454,-2.568363696499394,-2.597930798652841,-3.233236947568936,-3.2422200410703783,-3.2818710977923597
47,-1.184994430427454,-2.0801341997475564,-2.0770663636425852,-2.1889126161577934,-2.4372982415590854,-2.443669972754901,-2.5559626388275154,-2.5682321428954737,-2.5981008670508996,-3.233362309277997,-3.2422274000103926,-3.2819078212912505
48,-1.1848978783813366,-2.080023596540048,-2.0772021741485593,-2.188871499163412,-2.4362250302012387,-2.44462728622875,-2.555971806991206,-2.568125598718262,-2.598264074626549,-3.2334827654398572,-3.2422342443805836,-3.281943048814385
49,-1.1848051884170636,-2.080362422437345,-2.076887547257802,-2.1888320268487877,-2.4368414349456113,-2.443899619515551,-2.5559649439583896,-2.5680391833599594,-2.598420551316932,-3.23359861617681,-3.242240599852544,-3.2819768695557525
50,-1.1847161333533507,-2.0801337067488848,-2.0771395129721424,-2.188794102468062,-2.4382425280193143,-2.4423916276876194,-2.5559475132369958,-2.5679667287306986,-2.5985711566022576,-3.233710137590175,-3.2422464904163313,-3.2820093658224536
51,-1.1846305034843956,-2.079949097290188,-2.077346478224947,-2.1887576367173924,-2.437071499429831,-2.443459869013505,-2.555924248726003,-2.567903852949331,-2.598715681447072,-3.2338175841147647,-3.2422519385753032,-3.2820406136850133
52,-1.1845481049312503,-2.080267833412319,-2.0770492542820325,-2.188722547032763,-2.436314105424754,-2.444118354519637,-2.555899514737643,-2.567845411324766,-2.5988550384219513,-3.233921190581567,-3.242256965465371,-3.2820706835236297
53,-1.1844687581763695,-2.080135115227441,-2.077202687898789,-2.188688756966106,-2.43712297833317,-2.4432142363899847,-2.555876733100129,-2.56778836678819,-2.598988965166686,-3.2340211740810507,-3.2422615909612906,-3.282099640570392
54,-1.1843922967580298,-2.0798940853135788,-2.077463679956101,-2.1886561956291115,-2.438191993502388,-2.4420534394621556,-2.5558586989249497,-2.56772923385659,-2.5991182655506284,-3.234117735574156,-3.2422658337748613,-3.2821275453452543
55,-1.1843185661046312,-2.0801726296724605,-2.077204384806981,-2.1886247971970207,-2.436902032276312,-2.4432548968493832,-2.555847416343421,-2.5676663203244106,-2.5992427330386407,-3.234211061389353,-3.242269711558323,-3.2821544540928755
56,-1.1842474224917023,-2.0801345731075704,-2.0772610151707394,-2.188594500464299,-2.436429245039914,-2.443642285644979,-2.5558443566059847,-2.5675976015167974,-2.599363019050092,-3.2343013244939627,-3.2422732409452246,-3.282180419120555
57,-1.1841787321068058,-2.0798562824597298,-2.077557239141621,-2.188565248446505,-2.4373884642346453,-2.4426006127830826,-2.5558504556116257,-2.567522356953419,-2.5994789994029834,-3.234388685684593,-3.242276437683065,-3.2822054891546797
