,0,1,2,3
172,-1.5276938056916929,-2.5152151098056645,-2.515339003876439,-20.0
173,-1.5276885001259959,-2.5145333377005445,-2.5160202146033352,-20.0
174,-1.5276832551953352,-2.514338913773856,-2.516214083567522,-20.0
175,-1.5276780698661598,-2.5151361009289808,-2.5154163477562164,-20.0
176,-1.527672943128274,-2.514615491776853,-2.51593641445175,-20.0
177,-1.5276678739941851,-2.5143311283632443,-2.5162202415038286,-20.0
178,-1.5276628614984655,-2.515042700189854,-2.5155081393084857,-20.0
179,-1.5276579046971432,-2.5147042538740894,-2.5158460611485034,-20.0
180,-1.5276530026671058,-2.514331721716306,-2.516218074625842,-20.0
181,-1.5276481545055307,-2.514946820733056,-2.515602462628372,-20.0
182,-1.5276433593293277,-2.514798846928646,-2.5157499290584813,-20.0
183,-1.5276386162746056,-2.5143401729088697,-2.516208101218902,-20.0
184,-1.5276339244961503,-2.514855875419972,-2.5156919022739346,-20.0
185,-1.527629283166926,-2.514897700908743,-2.5156495856893275,-20.0
186,-1.5276246914775862,-2.514356055159384,-2.516190745595175,-20.0
187,-1.527620148636006,-2.5147737073449328,-2.515772612734635,-20.0
188,-1.5276156538668226,-2.5149978438475107,-2.515548000643602,-20.0
189,-1.5276112064109995,-2.5143790293981896,-2.5161663445106845,-20.0
190,-1.527606805525394,-2.5147019102624237,-2.5158429979917774,-20.0
191,-1.5276024504823476,-2.5150940564936337,-2.515450390956513,-20.0
192,-1.5275981405692804,-2.5144088372018625,-2.516135154219339,-20.0
193,-1.527593875088307,-2.51464083138801,-2.515902708705547,-20.0
194,-1.527589653355856,-2.5151780932695917,-2.5153650001253496,-20.0
195,-1.527585474702308,-2.5144452929809047,-2.516097358273606,-20.0
196,-1.5275813384716384,-2.5145901921883613,-2.515952021414458,-20.0
197,-1.5275772440210766,-2.5152389899042142,-2.5153027904676373,-20.0
198,-1.5275731907207717,-2.514488274418915,-2.5160530770760885,-20.0
199,-1.5275691779534701,-2.514549437508301,-2.515991489398479,-20.0
